Product_Supermarket_Identifier,Product_Supermarket_Sales
DRA59_CHUKWUDI010,100
DRA59_CHUKWUDI013,100
DRB01_CHUKWUDI013,100
DRB13_CHUKWUDI010,100
DRB13_CHUKWUDI013,100
DRB25_CHUKWUDI017,100
DRB25_CHUKWUDI027,100
DRB25_CHUKWUDI035,100
DRB48_CHUKWUDI017,100
DRB48_CHUKWUDI027,100
DRB48_CHUKWUDI035,100
DRB48_CHUKWUDI046,100
DRB48_CHUKWUDI049,100
DRC01_CHUKWUDI017,100
DRC01_CHUKWUDI018,100
DRC01_CHUKWUDI027,100
DRC01_CHUKWUDI045,100
DRC01_CHUKWUDI046,100
DRC13_CHUKWUDI035,100
DRC13_CHUKWUDI045,100
DRC25_CHUKWUDI018,100
DRC25_CHUKWUDI019,100
DRC25_CHUKWUDI027,100
DRC25_CHUKWUDI045,100
DRC25_CHUKWUDI046,100
DRC27_CHUKWUDI010,100
DRC27_CHUKWUDI018,100
DRC27_CHUKWUDI049,100
DRC36_CHUKWUDI013,100
DRD01_CHUKWUDI017,100
DRD01_CHUKWUDI018,100
DRD01_CHUKWUDI035,100
DRD01_CHUKWUDI045,100
DRD01_CHUKWUDI049,100
DRD12_CHUKWUDI017,100
DRD12_CHUKWUDI018,100
DRD12_CHUKWUDI027,100
DRD12_CHUKWUDI035,100
DRD12_CHUKWUDI045,100
DRD12_CHUKWUDI046,100
DRD13_CHUKWUDI017,100
DRD13_CHUKWUDI018,100
DRD13_CHUKWUDI027,100
DRD13_CHUKWUDI035,100
DRD13_CHUKWUDI045,100
DRD13_CHUKWUDI049,100
DRD15_CHUKWUDI010,100
DRD15_CHUKWUDI013,100
DRD15_CHUKWUDI046,100
DRD15_CHUKWUDI049,100
DRD24_CHUKWUDI027,100
DRD25_CHUKWUDI027,100
DRD25_CHUKWUDI035,100
DRD25_CHUKWUDI045,100
DRD27_CHUKWUDI017,100
DRD27_CHUKWUDI019,100
DRD27_CHUKWUDI045,100
DRD37_CHUKWUDI017,100
DRD37_CHUKWUDI018,100
DRD37_CHUKWUDI045,100
DRD37_CHUKWUDI046,100
DRD37_CHUKWUDI049,100
DRD49_CHUKWUDI046,100
DRD60_CHUKWUDI013,100
DRE01_CHUKWUDI010,100
DRE01_CHUKWUDI046,100
DRE03_CHUKWUDI017,100
DRE03_CHUKWUDI018,100
DRE03_CHUKWUDI035,100
DRE03_CHUKWUDI045,100
DRE03_CHUKWUDI046,100
DRE03_CHUKWUDI049,100
DRE12_CHUKWUDI027,100
DRE12_CHUKWUDI035,100
DRE12_CHUKWUDI045,100
DRE13_CHUKWUDI027,100
DRE13_CHUKWUDI035,100
DRE13_CHUKWUDI045,100
DRE13_CHUKWUDI049,100
DRE15_CHUKWUDI017,100
DRE15_CHUKWUDI018,100
DRE15_CHUKWUDI019,100
DRE15_CHUKWUDI027,100
DRE15_CHUKWUDI045,100
DRE15_CHUKWUDI046,100
DRE25_CHUKWUDI017,100
DRE25_CHUKWUDI027,100
DRE25_CHUKWUDI035,100
DRE27_CHUKWUDI035,100
DRE27_CHUKWUDI045,100
DRE48_CHUKWUDI013,100
DRE48_CHUKWUDI046,100
DRE60_CHUKWUDI013,100
DRF03_CHUKWUDI018,100
DRF03_CHUKWUDI027,100
DRF03_CHUKWUDI035,100
DRF03_CHUKWUDI045,100
DRF03_CHUKWUDI046,100
DRF03_CHUKWUDI049,100
DRF25_CHUKWUDI019,100
DRF25_CHUKWUDI027,100
DRF25_CHUKWUDI035,100
DRF25_CHUKWUDI045,100
DRF25_CHUKWUDI046,100
DRF25_CHUKWUDI049,100
DRF36_CHUKWUDI010,100
DRF37_CHUKWUDI013,100
DRF37_CHUKWUDI018,100
DRF37_CHUKWUDI035,100
DRF37_CHUKWUDI045,100
DRF49_CHUKWUDI035,100
DRF49_CHUKWUDI045,100
DRF51_CHUKWUDI018,100
DRF51_CHUKWUDI045,100
DRF51_CHUKWUDI046,100
DRF60_CHUKWUDI018,100
DRF60_CHUKWUDI049,100
DRG01_CHUKWUDI019,100
DRG01_CHUKWUDI027,100
DRG01_CHUKWUDI035,100
DRG01_CHUKWUDI046,100
DRG11_CHUKWUDI045,100
DRG15_CHUKWUDI017,100
DRG15_CHUKWUDI035,100
DRG15_CHUKWUDI045,100
DRG15_CHUKWUDI046,100
DRG15_CHUKWUDI049,100
DRG25_CHUKWUDI013,100
DRG27_CHUKWUDI018,100
DRG27_CHUKWUDI019,100
DRG27_CHUKWUDI045,100
DRG27_CHUKWUDI046,100
DRG27_CHUKWUDI049,100
DRG36_CHUKWUDI013,100
DRG39_CHUKWUDI018,100
DRG39_CHUKWUDI046,100
DRG39_CHUKWUDI049,100
DRG49_CHUKWUDI010,100
DRG49_CHUKWUDI018,100
DRH03_CHUKWUDI018,100
DRH03_CHUKWUDI019,100
DRH03_CHUKWUDI035,100
DRH11_CHUKWUDI027,100
DRH11_CHUKWUDI045,100
DRH11_CHUKWUDI049,100
DRH13_CHUKWUDI019,100
DRH13_CHUKWUDI045,100
DRH15_CHUKWUDI018,100
DRH15_CHUKWUDI019,100
DRH15_CHUKWUDI046,100
DRH23_CHUKWUDI017,100
DRH23_CHUKWUDI019,100
DRH23_CHUKWUDI045,100
DRH23_CHUKWUDI049,100
DRH25_CHUKWUDI017,100
DRH25_CHUKWUDI027,100
DRH25_CHUKWUDI035,100
DRH25_CHUKWUDI045,100
DRH36_CHUKWUDI017,100
DRH36_CHUKWUDI019,100
DRH36_CHUKWUDI035,100
